,backbone_model,is_train_clf,ice_clf,reducer,ICE no concepts,ice count,test_acc_mean,test_acc_std,test_acc,ice_acc_mean,ice_acc_std,ice_acc,woe_acc_mean,woe_acc_std,woe_acc,test_sensitivity_mean,test_sensitivity_std,test_sensitivity,ice_sensitivity_mean,ice_sensitivity_std,ice_sensitivity,woe_sensitivity_mean,woe_sensitivity_std,woe_sensitivity,test_precision_mean,test_precision_std,test_precision,ice_precision_mean,ice_precision_std,ice_precision,woe_precision_mean,woe_precision_std,woe_precision,test_f1_score_mean,test_f1_score_std,test_f1_score,ice_f1_score_mean,ice_f1_score_std,ice_f1_score,woe_f1_score_mean,woe_f1_score_std,woe_f1_score
200,resnet152,False,Not-Applicable,NMF,7,20,80.21,5.52,$80.21 \pm 5.52$,75.71,7.01,$75.71 \pm 7.01$,78.29,5.34,$78.29 \pm 5.34$,86.08,5.7,$86.08 \pm 5.7$,87.42,7.48,$87.42 \pm 7.48$,85.08,5.14,$85.08 \pm 5.14$,84.49,6.48,$84.49 \pm 6.48$,78.3,8.11,$78.3 \pm 8.11$,81.21,4.9,$81.21 \pm 4.9$,84.96,3.09,$84.96 \pm 3.09$,82.1,4.37,$82.1 \pm 4.37$,83.01,4.13,$83.01 \pm 4.13$
201,resnet152,True,ridge,NMF,7,20,80.21,5.52,$80.21 \pm 5.52$,78.5,6.15,$78.5 \pm 6.15$,78.29,5.34,$78.29 \pm 5.34$,86.08,5.7,$86.08 \pm 5.7$,87.33,6.68,$87.33 \pm 6.68$,85.08,5.14,$85.08 \pm 5.14$,84.49,6.48,$84.49 \pm 6.48$,80.99,5.58,$80.99 \pm 5.58$,81.21,4.9,$81.21 \pm 4.9$,84.96,3.09,$84.96 \pm 3.09$,83.82,4.34,$83.82 \pm 4.34$,83.01,4.13,$83.01 \pm 4.13$
202,resnet152,True,gnb,NMF,7,20,80.21,5.52,$80.21 \pm 5.52$,78.32,5.35,$78.32 \pm 5.35$,78.29,5.34,$78.29 \pm 5.34$,86.08,5.7,$86.08 \pm 5.7$,85.08,5.14,$85.08 \pm 5.14$,85.08,5.14,$85.08 \pm 5.14$,84.49,6.48,$84.49 \pm 6.48$,81.21,4.9,$81.21 \pm 4.9$,81.21,4.9,$81.21 \pm 4.9$,84.96,3.09,$84.96 \pm 3.09$,83.01,4.13,$83.01 \pm 4.13$,83.01,4.13,$83.01 \pm 4.13$
203,resnet152,True,logistic,NMF,7,20,80.21,5.52,$80.21 \pm 5.52$,78.82,5.73,$78.82 \pm 5.73$,78.29,5.34,$78.29 \pm 5.34$,86.08,5.7,$86.08 \pm 5.7$,86.5,5.13,$86.5 \pm 5.13$,85.08,5.14,$85.08 \pm 5.14$,84.49,6.48,$84.49 \pm 6.48$,82.01,5.23,$82.01 \pm 5.23$,81.21,4.9,$81.21 \pm 4.9$,84.96,3.09,$84.96 \pm 3.09$,84.06,3.91,$84.06 \pm 3.91$,83.01,4.13,$83.01 \pm 4.13$
204,resnet152,False,Not-Applicable,NMF,8,20,80.21,5.52,$80.21 \pm 5.52$,77.82,6.61,$77.82 \pm 6.61$,78.86,4.81,$78.86 \pm 4.81$,86.08,5.7,$86.08 \pm 5.7$,87.08,5.67,$87.08 \pm 5.67$,86.08,4.2,$86.08 \pm 4.2$,84.49,6.48,$84.49 \pm 6.48$,81.21,7.29,$81.21 \pm 7.29$,82.01,5.22,$82.01 \pm 5.22$,84.96,3.09,$84.96 \pm 3.09$,83.69,3.69,$83.69 \pm 3.69$,83.88,3.64,$83.88 \pm 3.64$
205,resnet152,True,ridge,NMF,8,20,80.21,5.52,$80.21 \pm 5.52$,79.29,5.31,$79.29 \pm 5.31$,78.86,4.81,$78.86 \pm 4.81$,86.08,5.7,$86.08 \pm 5.7$,86.83,4.42,$86.83 \pm 4.42$,86.08,4.2,$86.08 \pm 4.2$,84.49,6.48,$84.49 \pm 6.48$,82.43,6.07,$82.43 \pm 6.07$,82.01,5.22,$82.01 \pm 5.22$,84.96,3.09,$84.96 \pm 3.09$,84.38,3.47,$84.38 \pm 3.47$,83.88,3.64,$83.88 \pm 3.64$
206,resnet152,True,gnb,NMF,8,20,80.21,5.52,$80.21 \pm 5.52$,78.86,4.81,$78.86 \pm 4.81$,78.86,4.81,$78.86 \pm 4.81$,86.08,5.7,$86.08 \pm 5.7$,86.08,4.2,$86.08 \pm 4.2$,86.08,4.2,$86.08 \pm 4.2$,84.49,6.48,$84.49 \pm 6.48$,82.01,5.22,$82.01 \pm 5.22$,82.01,5.22,$82.01 \pm 5.22$,84.96,3.09,$84.96 \pm 3.09$,83.88,3.64,$83.88 \pm 3.64$,83.88,3.64,$83.88 \pm 3.64$
207,resnet152,True,logistic,NMF,8,20,80.21,5.52,$80.21 \pm 5.52$,79.18,4.73,$79.18 \pm 4.73$,78.86,4.81,$78.86 \pm 4.81$,86.08,5.7,$86.08 \pm 5.7$,85.83,4.44,$85.83 \pm 4.44$,86.08,4.2,$86.08 \pm 4.2$,84.49,6.48,$84.49 \pm 6.48$,82.73,5.35,$82.73 \pm 5.35$,82.01,5.22,$82.01 \pm 5.22$,84.96,3.09,$84.96 \pm 3.09$,84.09,3.18,$84.09 \pm 3.18$,83.88,3.64,$83.88 \pm 3.64$
208,resnet152,False,Not-Applicable,NMF,9,20,80.21,5.52,$80.21 \pm 5.52$,78.14,6.62,$78.14 \pm 6.62$,78.57,5.08,$78.57 \pm 5.08$,86.08,5.7,$86.08 \pm 5.7$,87.5,6.06,$87.5 \pm 6.06$,85.08,3.88,$85.08 \pm 3.88$,84.49,6.48,$84.49 \pm 6.48$,80.94,7.1,$80.94 \pm 7.1$,82.62,5.52,$82.62 \pm 5.52$,84.96,3.09,$84.96 \pm 3.09$,83.73,3.73,$83.73 \pm 3.73$,83.71,3.5,$83.71 \pm 3.5$
209,resnet152,True,ridge,NMF,9,20,80.21,5.52,$80.21 \pm 5.52$,79.43,4.84,$79.43 \pm 4.84$,78.57,5.08,$78.57 \pm 5.08$,86.08,5.7,$86.08 \pm 5.7$,86.92,4.37,$86.92 \pm 4.37$,85.08,3.88,$85.08 \pm 3.88$,84.49,6.48,$84.49 \pm 6.48$,82.3,5.62,$82.3 \pm 5.62$,82.62,5.52,$82.62 \pm 5.52$,84.96,3.09,$84.96 \pm 3.09$,84.37,3.3,$84.37 \pm 3.3$,83.71,3.5,$83.71 \pm 3.5$
210,resnet152,True,gnb,NMF,9,20,80.21,5.52,$80.21 \pm 5.52$,78.61,5.01,$78.61 \pm 5.01$,78.57,5.08,$78.57 \pm 5.08$,86.08,5.7,$86.08 \pm 5.7$,85.08,3.88,$85.08 \pm 3.88$,85.08,3.88,$85.08 \pm 3.88$,84.49,6.48,$84.49 \pm 6.48$,82.68,5.44,$82.68 \pm 5.44$,82.62,5.52,$82.62 \pm 5.52$,84.96,3.09,$84.96 \pm 3.09$,83.74,3.46,$83.74 \pm 3.46$,83.71,3.5,$83.71 \pm 3.5$
211,resnet152,True,logistic,NMF,9,20,80.21,5.52,$80.21 \pm 5.52$,79.14,4.72,$79.14 \pm 4.72$,78.57,5.08,$78.57 \pm 5.08$,86.08,5.7,$86.08 \pm 5.7$,85.75,5.09,$85.75 \pm 5.09$,85.08,3.88,$85.08 \pm 3.88$,84.49,6.48,$84.49 \pm 6.48$,82.45,5.28,$82.45 \pm 5.28$,82.62,5.52,$82.62 \pm 5.52$,84.96,3.09,$84.96 \pm 3.09$,83.88,3.34,$83.88 \pm 3.34$,83.71,3.5,$83.71 \pm 3.5$
212,resnet152,False,Not-Applicable,NMF,10,20,80.21,5.52,$80.21 \pm 5.52$,77.89,7.0,$77.89 \pm 7.0$,78.79,4.66,$78.79 \pm 4.66$,86.08,5.7,$86.08 \pm 5.7$,88.25,6.08,$88.25 \pm 6.08$,84.75,4.78,$84.75 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,80.36,7.07,$80.36 \pm 7.07$,82.5,5.06,$82.5 \pm 5.06$,84.96,3.09,$84.96 \pm 3.09$,83.75,3.73,$83.75 \pm 3.73$,83.48,3.57,$83.48 \pm 3.57$
213,resnet152,True,ridge,NMF,10,20,80.21,5.52,$80.21 \pm 5.52$,79.46,4.78,$79.46 \pm 4.78$,78.79,4.66,$78.79 \pm 4.66$,86.08,5.7,$86.08 \pm 5.7$,86.33,4.21,$86.33 \pm 4.21$,84.75,4.78,$84.75 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,82.83,5.24,$82.83 \pm 5.24$,82.5,5.06,$82.5 \pm 5.06$,84.96,3.09,$84.96 \pm 3.09$,84.4,3.25,$84.4 \pm 3.25$,83.48,3.57,$83.48 \pm 3.57$
214,resnet152,True,gnb,NMF,10,20,80.21,5.52,$80.21 \pm 5.52$,78.79,4.66,$78.79 \pm 4.66$,78.79,4.66,$78.79 \pm 4.66$,86.08,5.7,$86.08 \pm 5.7$,84.75,4.78,$84.75 \pm 4.78$,84.75,4.78,$84.75 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,82.5,5.06,$82.5 \pm 5.06$,82.5,5.06,$82.5 \pm 5.06$,84.96,3.09,$84.96 \pm 3.09$,83.48,3.57,$83.48 \pm 3.57$,83.48,3.57,$83.48 \pm 3.57$
215,resnet152,True,logistic,NMF,10,20,80.21,5.52,$80.21 \pm 5.52$,79.21,4.48,$79.21 \pm 4.48$,78.79,4.66,$78.79 \pm 4.66$,86.08,5.7,$86.08 \pm 5.7$,85.92,4.17,$85.92 \pm 4.17$,84.75,4.78,$84.75 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,82.51,5.0,$82.51 \pm 5.0$,82.5,5.06,$82.5 \pm 5.06$,84.96,3.09,$84.96 \pm 3.09$,84.02,2.83,$84.02 \pm 2.83$,83.48,3.57,$83.48 \pm 3.57$
216,resnet152,False,Not-Applicable,PCA,10,20,80.21,5.52,$80.21 \pm 5.52$,79.32,5.23,$79.32 \pm 5.23$,77.96,4.88,$77.96 \pm 4.88$,86.08,5.7,$86.08 \pm 5.7$,87.0,4.24,$87.0 \pm 4.24$,85.67,4.27,$85.67 \pm 4.27$,84.49,6.48,$84.49 \pm 6.48$,82.38,5.95,$82.38 \pm 5.95$,81.61,5.12,$81.61 \pm 5.12$,84.96,3.09,$84.96 \pm 3.09$,84.41,3.0,$84.41 \pm 3.0$,83.48,3.58,$83.48 \pm 3.58$
217,resnet152,True,ridge,PCA,10,20,80.21,5.52,$80.21 \pm 5.52$,80.32,4.92,$80.32 \pm 4.92$,77.96,4.88,$77.96 \pm 4.88$,86.08,5.7,$86.08 \pm 5.7$,86.17,3.42,$86.17 \pm 3.42$,85.67,4.27,$85.67 \pm 4.27$,84.49,6.48,$84.49 \pm 6.48$,83.59,5.46,$83.59 \pm 5.46$,81.61,5.12,$81.61 \pm 5.12$,84.96,3.09,$84.96 \pm 3.09$,84.74,3.32,$84.74 \pm 3.32$,83.48,3.58,$83.48 \pm 3.58$
218,resnet152,True,gnb,PCA,10,20,80.21,5.52,$80.21 \pm 5.52$,77.93,4.84,$77.93 \pm 4.84$,77.96,4.88,$77.96 \pm 4.88$,86.08,5.7,$86.08 \pm 5.7$,85.58,4.23,$85.58 \pm 4.23$,85.67,4.27,$85.67 \pm 4.27$,84.49,6.48,$84.49 \pm 6.48$,81.6,5.11,$81.6 \pm 5.11$,81.61,5.12,$81.61 \pm 5.12$,84.96,3.09,$84.96 \pm 3.09$,83.43,3.55,$83.43 \pm 3.55$,83.48,3.58,$83.48 \pm 3.58$
219,resnet152,True,logistic,PCA,10,20,80.21,5.52,$80.21 \pm 5.52$,81.25,3.74,$81.25 \pm 3.74$,77.96,4.88,$77.96 \pm 4.88$,86.08,5.7,$86.08 \pm 5.7$,85.58,3.72,$85.58 \pm 3.72$,85.67,4.27,$85.67 \pm 4.27$,84.49,6.48,$84.49 \pm 6.48$,84.88,4.36,$84.88 \pm 4.36$,81.61,5.12,$81.61 \pm 5.12$,84.96,3.09,$84.96 \pm 3.09$,85.14,2.85,$85.14 \pm 2.85$,83.48,3.58,$83.48 \pm 3.58$
220,resnet152,False,Not-Applicable,NMF,11,20,80.21,5.52,$80.21 \pm 5.52$,77.68,6.86,$77.68 \pm 6.86$,78.32,5.05,$78.32 \pm 5.05$,86.08,5.7,$86.08 \pm 5.7$,87.75,6.45,$87.75 \pm 6.45$,84.5,4.56,$84.5 \pm 4.56$,84.49,6.48,$84.49 \pm 6.48$,80.36,7.0,$80.36 \pm 7.0$,81.75,5.38,$81.75 \pm 5.38$,84.96,3.09,$84.96 \pm 3.09$,83.5,3.61,$83.5 \pm 3.61$,83.01,4.08,$83.01 \pm 4.08$
221,resnet152,True,ridge,NMF,11,20,80.21,5.52,$80.21 \pm 5.52$,79.46,4.98,$79.46 \pm 4.98$,78.32,5.05,$78.32 \pm 5.05$,86.08,5.7,$86.08 \pm 5.7$,86.58,3.52,$86.58 \pm 3.52$,84.5,4.56,$84.5 \pm 4.56$,84.49,6.48,$84.49 \pm 6.48$,82.39,5.34,$82.39 \pm 5.34$,81.75,5.38,$81.75 \pm 5.38$,84.96,3.09,$84.96 \pm 3.09$,84.32,3.35,$84.32 \pm 3.35$,83.01,4.08,$83.01 \pm 4.08$
222,resnet152,True,gnb,NMF,11,20,80.21,5.52,$80.21 \pm 5.52$,78.36,5.06,$78.36 \pm 5.06$,78.32,5.05,$78.32 \pm 5.05$,86.08,5.7,$86.08 \pm 5.7$,84.58,4.55,$84.58 \pm 4.55$,84.5,4.56,$84.5 \pm 4.56$,84.49,6.48,$84.49 \pm 6.48$,81.76,5.36,$81.76 \pm 5.36$,81.75,5.38,$81.75 \pm 5.38$,84.96,3.09,$84.96 \pm 3.09$,83.05,4.05,$83.05 \pm 4.05$,83.01,4.08,$83.01 \pm 4.08$
223,resnet152,True,logistic,NMF,11,20,80.21,5.52,$80.21 \pm 5.52$,79.11,4.71,$79.11 \pm 4.71$,78.32,5.05,$78.32 \pm 5.05$,86.08,5.7,$86.08 \pm 5.7$,86.42,4.02,$86.42 \pm 4.02$,84.5,4.56,$84.5 \pm 4.56$,84.49,6.48,$84.49 \pm 6.48$,82.22,4.91,$82.22 \pm 4.91$,81.75,5.38,$81.75 \pm 5.38$,84.96,3.09,$84.96 \pm 3.09$,84.14,3.02,$84.14 \pm 3.02$,83.01,4.08,$83.01 \pm 4.08$
224,resnet152,False,Not-Applicable,NMF,12,20,80.21,5.52,$80.21 \pm 5.52$,77.32,7.06,$77.32 \pm 7.06$,78.39,4.93,$78.39 \pm 4.93$,86.08,5.7,$86.08 \pm 5.7$,87.33,6.65,$87.33 \pm 6.65$,85.42,4.01,$85.42 \pm 4.01$,84.49,6.48,$84.49 \pm 6.48$,79.89,7.24,$79.89 \pm 7.24$,81.71,5.67,$81.71 \pm 5.67$,84.96,3.09,$84.96 \pm 3.09$,83.01,3.54,$83.01 \pm 3.54$,83.42,3.92,$83.42 \pm 3.92$
225,resnet152,True,ridge,NMF,12,20,80.21,5.52,$80.21 \pm 5.52$,79.36,4.77,$79.36 \pm 4.77$,78.39,4.93,$78.39 \pm 4.93$,86.08,5.7,$86.08 \pm 5.7$,86.92,3.64,$86.92 \pm 3.64$,85.42,4.01,$85.42 \pm 4.01$,84.49,6.48,$84.49 \pm 6.48$,82.49,5.13,$82.49 \pm 5.13$,81.71,5.67,$81.71 \pm 5.67$,84.96,3.09,$84.96 \pm 3.09$,84.53,3.25,$84.53 \pm 3.25$,83.42,3.92,$83.42 \pm 3.92$
226,resnet152,True,gnb,NMF,12,20,80.21,5.52,$80.21 \pm 5.52$,78.43,4.84,$78.43 \pm 4.84$,78.39,4.93,$78.39 \pm 4.93$,86.08,5.7,$86.08 \pm 5.7$,85.42,4.01,$85.42 \pm 4.01$,85.42,4.01,$85.42 \pm 4.01$,84.49,6.48,$84.49 \pm 6.48$,81.77,5.59,$81.77 \pm 5.59$,81.71,5.67,$81.71 \pm 5.67$,84.96,3.09,$84.96 \pm 3.09$,83.45,3.83,$83.45 \pm 3.83$,83.42,3.92,$83.42 \pm 3.92$
227,resnet152,True,logistic,NMF,12,20,80.21,5.52,$80.21 \pm 5.52$,79.25,4.5,$79.25 \pm 4.5$,78.39,4.93,$78.39 \pm 4.93$,86.08,5.7,$86.08 \pm 5.7$,86.42,3.72,$86.42 \pm 3.72$,85.42,4.01,$85.42 \pm 4.01$,84.49,6.48,$84.49 \pm 6.48$,82.34,4.46,$82.34 \pm 4.46$,81.71,5.67,$81.71 \pm 5.67$,84.96,3.09,$84.96 \pm 3.09$,84.23,2.85,$84.23 \pm 2.85$,83.42,3.92,$83.42 \pm 3.92$
228,resnet152,False,Not-Applicable,NMF,15,20,80.21,5.52,$80.21 \pm 5.52$,78.07,6.01,$78.07 \pm 6.01$,78.96,4.39,$78.96 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,86.5,6.77,$86.5 \pm 6.77$,85.33,4.48,$85.33 \pm 4.48$,84.49,6.48,$84.49 \pm 6.48$,81.23,6.26,$81.23 \pm 6.26$,82.4,5.48,$82.4 \pm 5.48$,84.96,3.09,$84.96 \pm 3.09$,83.39,3.08,$83.39 \pm 3.08$,83.7,3.54,$83.7 \pm 3.54$
229,resnet152,True,ridge,NMF,15,20,80.21,5.52,$80.21 \pm 5.52$,80.29,3.89,$80.29 \pm 3.89$,78.96,4.39,$78.96 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,85.92,4.76,$85.92 \pm 4.76$,85.33,4.48,$85.33 \pm 4.48$,84.49,6.48,$84.49 \pm 6.48$,83.91,4.36,$83.91 \pm 4.36$,82.4,5.48,$82.4 \pm 5.48$,84.96,3.09,$84.96 \pm 3.09$,84.78,3.18,$84.78 \pm 3.18$,83.7,3.54,$83.7 \pm 3.54$
230,resnet152,True,gnb,NMF,15,20,80.21,5.52,$80.21 \pm 5.52$,78.96,4.39,$78.96 \pm 4.39$,78.96,4.39,$78.96 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,85.33,4.48,$85.33 \pm 4.48$,85.33,4.48,$85.33 \pm 4.48$,84.49,6.48,$84.49 \pm 6.48$,82.4,5.48,$82.4 \pm 5.48$,82.4,5.48,$82.4 \pm 5.48$,84.96,3.09,$84.96 \pm 3.09$,83.7,3.54,$83.7 \pm 3.54$,83.7,3.54,$83.7 \pm 3.54$
231,resnet152,True,logistic,NMF,15,20,80.21,5.52,$80.21 \pm 5.52$,80.07,3.97,$80.07 \pm 3.97$,78.96,4.39,$78.96 \pm 4.39$,86.08,5.7,$86.08 \pm 5.7$,86.25,4.29,$86.25 \pm 4.29$,85.33,4.48,$85.33 \pm 4.48$,84.49,6.48,$84.49 \pm 6.48$,83.31,3.78,$83.31 \pm 3.78$,82.4,5.48,$82.4 \pm 5.48$,84.96,3.09,$84.96 \pm 3.09$,84.66,2.72,$84.66 \pm 2.72$,83.7,3.54,$83.7 \pm 3.54$
232,resnet152,False,Not-Applicable,PCA,15,20,80.21,5.52,$80.21 \pm 5.52$,79.57,5.07,$79.57 \pm 5.07$,78.68,4.15,$78.68 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,86.42,4.23,$86.42 \pm 4.23$,86.92,4.78,$86.92 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,83.19,6.18,$83.19 \pm 6.18$,81.62,4.32,$81.62 \pm 4.32$,84.96,3.09,$84.96 \pm 3.09$,84.56,3.18,$84.56 \pm 3.18$,84.08,3.27,$84.08 \pm 3.27$
233,resnet152,True,ridge,PCA,15,20,80.21,5.52,$80.21 \pm 5.52$,80.79,3.87,$80.79 \pm 3.87$,78.68,4.15,$78.68 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,85.58,3.83,$85.58 \pm 3.83$,86.92,4.78,$86.92 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,84.73,4.79,$84.73 \pm 4.79$,81.62,4.32,$81.62 \pm 4.32$,84.96,3.09,$84.96 \pm 3.09$,85.04,2.88,$85.04 \pm 2.88$,84.08,3.27,$84.08 \pm 3.27$
234,resnet152,True,gnb,PCA,15,20,80.21,5.52,$80.21 \pm 5.52$,78.71,4.15,$78.71 \pm 4.15$,78.68,4.15,$78.68 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,86.92,4.78,$86.92 \pm 4.78$,86.92,4.78,$86.92 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,81.68,4.27,$81.68 \pm 4.27$,81.62,4.32,$81.62 \pm 4.32$,84.96,3.09,$84.96 \pm 3.09$,84.11,3.28,$84.11 \pm 3.28$,84.08,3.27,$84.08 \pm 3.27$
235,resnet152,True,logistic,PCA,15,20,80.21,5.52,$80.21 \pm 5.52$,81.21,2.66,$81.21 \pm 2.66$,78.68,4.15,$78.68 \pm 4.15$,86.08,5.7,$86.08 \pm 5.7$,84.58,3.66,$84.58 \pm 3.66$,86.92,4.78,$86.92 \pm 4.78$,84.49,6.48,$84.49 \pm 6.48$,85.06,3.74,$85.06 \pm 3.74$,81.62,4.32,$81.62 \pm 4.32$,84.96,3.09,$84.96 \pm 3.09$,84.73,2.32,$84.73 \pm 2.32$,84.08,3.27,$84.08 \pm 3.27$
236,resnet152,False,Not-Applicable,NMF,20,20,80.21,5.52,$80.21 \pm 5.52$,78.43,6.24,$78.43 \pm 6.24$,79.39,3.79,$79.39 \pm 3.79$,86.08,5.7,$86.08 \pm 5.7$,86.33,6.48,$86.33 \pm 6.48$,85.08,4.38,$85.08 \pm 4.38$,84.49,6.48,$84.49 \pm 6.48$,82.41,6.65,$82.41 \pm 6.65$,83.2,4.01,$83.2 \pm 4.01$,84.96,3.09,$84.96 \pm 3.09$,83.93,3.13,$83.93 \pm 3.13$,84.03,2.93,$84.03 \pm 2.93$
237,resnet152,True,ridge,NMF,20,20,80.21,5.52,$80.21 \pm 5.52$,80.54,3.39,$80.54 \pm 3.39$,79.39,3.79,$79.39 \pm 3.79$,86.08,5.7,$86.08 \pm 5.7$,85.75,4.31,$85.75 \pm 4.31$,85.08,4.38,$85.08 \pm 4.38$,84.49,6.48,$84.49 \pm 6.48$,84.91,4.13,$84.91 \pm 4.13$,83.2,4.01,$83.2 \pm 4.01$,84.96,3.09,$84.96 \pm 3.09$,85.22,2.81,$85.22 \pm 2.81$,84.03,2.93,$84.03 \pm 2.93$
238,resnet152,True,gnb,NMF,20,20,80.21,5.52,$80.21 \pm 5.52$,79.36,3.8,$79.36 \pm 3.8$,79.39,3.79,$79.39 \pm 3.79$,86.08,5.7,$86.08 \pm 5.7$,85.0,4.39,$85.0 \pm 4.39$,85.08,4.38,$85.08 \pm 4.38$,84.49,6.48,$84.49 \pm 6.48$,83.32,4.09,$83.32 \pm 4.09$,83.2,4.01,$83.2 \pm 4.01$,84.96,3.09,$84.96 \pm 3.09$,84.05,3.0,$84.05 \pm 3.0$,84.03,2.93,$84.03 \pm 2.93$
239,resnet152,True,logistic,NMF,20,20,80.21,5.52,$80.21 \pm 5.52$,80.21,3.48,$80.21 \pm 3.48$,79.39,3.79,$79.39 \pm 3.79$,86.08,5.7,$86.08 \pm 5.7$,86.0,4.63,$86.0 \pm 4.63$,85.08,4.38,$85.08 \pm 4.38$,84.49,6.48,$84.49 \pm 6.48$,83.84,4.07,$83.84 \pm 4.07$,83.2,4.01,$83.2 \pm 4.01$,84.96,3.09,$84.96 \pm 3.09$,84.76,2.54,$84.76 \pm 2.54$,84.03,2.93,$84.03 \pm 2.93$
240,resnet152,False,Not-Applicable,PCA,20,20,80.21,5.52,$80.21 \pm 5.52$,79.93,4.78,$79.93 \pm 4.78$,78.46,4.08,$78.46 \pm 4.08$,86.08,5.7,$86.08 \pm 5.7$,86.33,4.79,$86.33 \pm 4.79$,86.5,4.98,$86.5 \pm 4.98$,84.49,6.48,$84.49 \pm 6.48$,83.86,5.77,$83.86 \pm 5.77$,81.21,4.12,$81.21 \pm 4.12$,84.96,3.09,$84.96 \pm 3.09$,84.86,3.0,$84.86 \pm 3.0$,83.67,3.42,$83.67 \pm 3.42$
241,resnet152,True,ridge,PCA,20,20,80.21,5.52,$80.21 \pm 5.52$,81.39,3.51,$81.39 \pm 3.51$,78.46,4.08,$78.46 \pm 4.08$,86.08,5.7,$86.08 \pm 5.7$,85.5,3.11,$85.5 \pm 3.11$,86.5,4.98,$86.5 \pm 4.98$,84.49,6.48,$84.49 \pm 6.48$,86.05,4.04,$86.05 \pm 4.04$,81.21,4.12,$81.21 \pm 4.12$,84.96,3.09,$84.96 \pm 3.09$,85.7,2.43,$85.7 \pm 2.43$,83.67,3.42,$83.67 \pm 3.42$
242,resnet152,True,gnb,PCA,20,20,80.21,5.52,$80.21 \pm 5.52$,78.5,4.05,$78.5 \pm 4.05$,78.46,4.08,$78.46 \pm 4.08$,86.08,5.7,$86.08 \pm 5.7$,86.5,4.98,$86.5 \pm 4.98$,86.5,4.98,$86.5 \pm 4.98$,84.49,6.48,$84.49 \pm 6.48$,81.21,4.12,$81.21 \pm 4.12$,81.21,4.12,$81.21 \pm 4.12$,84.96,3.09,$84.96 \pm 3.09$,83.67,3.42,$83.67 \pm 3.42$,83.67,3.42,$83.67 \pm 3.42$
243,resnet152,True,logistic,PCA,20,20,80.21,5.52,$80.21 \pm 5.52$,81.71,3.16,$81.71 \pm 3.16$,78.46,4.08,$78.46 \pm 4.08$,86.08,5.7,$86.08 \pm 5.7$,85.08,3.84,$85.08 \pm 3.84$,86.5,4.98,$86.5 \pm 4.98$,84.49,6.48,$84.49 \pm 6.48$,85.65,3.75,$85.65 \pm 3.75$,81.21,4.12,$81.21 \pm 4.12$,84.96,3.09,$84.96 \pm 3.09$,85.29,2.83,$85.29 \pm 2.83$,83.67,3.42,$83.67 \pm 3.42$
244,resnet152,False,Not-Applicable,NMF,25,20,80.21,5.52,$80.21 \pm 5.52$,78.68,5.97,$78.68 \pm 5.97$,79.0,3.88,$79.0 \pm 3.88$,86.08,5.7,$86.08 \pm 5.7$,85.58,6.61,$85.58 \pm 6.61$,83.58,4.99,$83.58 \pm 4.99$,84.49,6.48,$84.49 \pm 6.48$,83.15,5.82,$83.15 \pm 5.82$,82.87,3.56,$82.87 \pm 3.56$,84.96,3.09,$84.96 \pm 3.09$,84.01,3.15,$84.01 \pm 3.15$,83.13,3.27,$83.13 \pm 3.27$
245,resnet152,True,ridge,NMF,25,20,80.21,5.52,$80.21 \pm 5.52$,81.11,3.26,$81.11 \pm 3.26$,79.0,3.88,$79.0 \pm 3.88$,86.08,5.7,$86.08 \pm 5.7$,86.33,3.57,$86.33 \pm 3.57$,83.58,4.99,$83.58 \pm 4.99$,84.49,6.48,$84.49 \pm 6.48$,85.24,4.13,$85.24 \pm 4.13$,82.87,3.56,$82.87 \pm 3.56$,84.96,3.09,$84.96 \pm 3.09$,85.67,2.21,$85.67 \pm 2.21$,83.13,3.27,$83.13 \pm 3.27$
246,resnet152,True,gnb,NMF,25,20,80.21,5.52,$80.21 \pm 5.52$,79.0,3.88,$79.0 \pm 3.88$,79.0,3.88,$79.0 \pm 3.88$,86.08,5.7,$86.08 \pm 5.7$,83.58,4.99,$83.58 \pm 4.99$,83.58,4.99,$83.58 \pm 4.99$,84.49,6.48,$84.49 \pm 6.48$,82.87,3.56,$82.87 \pm 3.56$,82.87,3.56,$82.87 \pm 3.56$,84.96,3.09,$84.96 \pm 3.09$,83.13,3.27,$83.13 \pm 3.27$,83.13,3.27,$83.13 \pm 3.27$
