timestamp,model,seed,test_acc,test_acc_binary,test_sensitivity,test_specificity,test_precision,test_f1_score,test_time_cost
2025-03-30 00:03:09.829241,resnext50,6,75.0,82.85714285714286,75.0,88.75,83.33333333333334,78.94736842105262,608.0697474479675
2025-03-30 00:03:14.826860,resnext50,3,83.57142857142857,87.14285714285714,85.0,88.75,85.0,85.0,680.2348182201385
2025-03-30 00:03:14.826832,resnext50,4,85.71428571428571,91.42857142857143,90.0,92.5,90.0,90.0,693.1072511672974
2025-03-30 00:03:12.863394,resnext50,0,82.85714285714286,89.28571428571429,80.0,96.25,94.11764705882352,86.48648648648648,859.6379194259644
2025-03-30 00:03:12.863394,resnext50,1,76.42857142857142,82.14285714285714,81.66666666666667,82.5,77.77777777777779,79.67479674796746,994.0498955249786
2025-03-30 00:03:14.826874,resnext50,5,80.71428571428572,88.57142857142857,86.66666666666667,90.0,86.66666666666667,86.66666666666667,1019.3109424114227
2025-03-30 00:15:19.169503,resnet50,3,75.71428571428571,85.0,85.0,85.0,80.95238095238095,82.92682926829269,493.43976640701294
2025-03-30 00:14:11.990517,resnet50,6,77.14285714285715,82.14285714285714,86.66666666666667,78.75,75.36231884057972,80.62015503875969,619.7716789245605
2025-03-30 00:20:25.852055,resnet50,1,72.85714285714285,80.0,80.0,80.0,75.0,77.41935483870968,542.8489828109741
2025-03-30 00:15:27.326403,resnet50,4,88.57142857142857,93.57142857142857,96.66666666666667,91.25,89.23076923076924,92.80000000000001,892.3533720970154
2025-03-30 00:03:14.826862,resnext50,2,85.0,89.28571428571429,90.0,88.75,85.71428571428571,87.80487804878048,1734.2644777297974
2025-03-30 00:18:12.512080,resnet50,0,84.28571428571429,87.14285714285714,81.66666666666667,91.25,87.5,84.48275862068965,1060.1052331924438
2025-03-30 00:32:51.701726,resnet50,2,66.42857142857143,75.71428571428571,81.66666666666667,71.25,68.05555555555556,74.24242424242425,408.4291365146637
2025-03-30 00:20:57.010588,resnet50,5,82.14285714285714,89.28571428571429,88.33333333333333,90.0,86.88524590163934,87.60330578512396,1179.395870923996
2025-03-30 00:25:08.030070,resnet152,6,75.71428571428571,83.57142857142857,95.0,75.0,74.02597402597402,83.21167883211679,1015.9804577827454
2025-03-30 00:24:14.475536,resnet152,3,83.57142857142857,87.85714285714286,83.33333333333334,91.25,87.71929824561403,85.47008547008548,1519.3984642028809
2025-03-30 00:31:06.076468,resnet152,4,87.14285714285714,91.42857142857143,90.0,92.5,90.0,90.0,1233.3258528709412
2025-03-30 00:36:31.306214,resnet152,0,81.42857142857143,87.85714285714286,88.33333333333333,87.5,84.12698412698413,86.17886178861788,1089.3982632160187
2025-03-30 00:41:17.955801,resnet152,5,83.57142857142857,88.57142857142857,90.0,87.5,84.375,87.0967741935484,1359.9917538166046
2025-03-30 00:30:08.805931,resnet152,1,84.28571428571429,90.0,90.0,90.0,87.09677419354838,88.52459016393443,2317.2291147708893
2025-03-30 00:40:22.204144,resnet152,2,85.0,87.85714285714286,85.0,90.0,86.4406779661017,85.71428571428572,1934.7380895614624
2025-03-30 01:03:18.682100,resnext50,10,89.28571428571429,92.85714285714286,93.33333333333333,92.5,90.32258064516128,91.80327868852459,1085.2345802783966
2025-03-30 01:08:12.140689,resnext50,42,89.28571428571429,92.85714285714286,95.0,91.25,89.0625,91.93548387096774,1082.4960298538208
2025-03-30 01:22:10.476945,resnet50,10,82.14285714285714,90.71428571428571,90.0,91.25,88.52459016393442,89.25619834710743,771.3683316707611
2025-03-30 01:27:23.228022,resnext50,100,85.0,92.14285714285714,93.33333333333333,91.25,88.88888888888889,91.05691056910568,1278.1407368183136
2025-03-30 01:27:00.522158,resnet50,42,86.42857142857143,91.42857142857143,86.66666666666667,95.0,92.85714285714286,89.65517241379311,1317.5853343009949
2025-03-30 01:35:39.909657,resnet152,10,84.28571428571429,89.28571428571429,78.33333333333333,97.5,95.91836734693877,86.23853211009175,1006.7201242446899
2025-03-30 01:45:27.428620,resnext50,149,80.0,86.42857142857143,88.33333333333333,85.0,81.53846153846153,84.8,626.3822219371796
2025-03-30 01:49:27.061060,resnet50,100,81.42857142857143,87.14285714285714,91.66666666666666,83.75,80.88235294117648,85.9375,837.3659086227417
2025-03-30 01:56:39.215076,resnet50,149,77.85714285714286,84.28571428571429,86.66666666666667,82.5,78.78787878787878,82.53968253968253,786.5458455085754
2025-03-30 01:49:36.268790,resnet152,42,86.42857142857143,91.42857142857143,86.66666666666667,95.0,92.85714285714286,89.65517241379311,1922.1425530910492
2025-03-30 02:10:31.592961,resnet152,149,63.57142857142857,77.85714285714286,85.0,72.5,69.86301369863014,76.69172932330827,857.209475517273
2025-03-30 02:14:10.331971,resnext50,289,81.42857142857143,90.0,88.33333333333333,91.25,88.33333333333333,88.33333333333333,881.0343813896179
2025-03-30 02:04:04.584344,resnet152,100,82.85714285714286,87.85714285714286,91.66666666666666,85.0,82.08955223880598,86.61417322834646,1929.3290719985962
2025-03-30 02:29:50.204169,resnet50,289,74.28571428571429,82.85714285714286,71.66666666666667,91.25,86.0,78.18181818181817,420.4515390396118
2025-03-30 02:14:03.211274,resnext50,222,89.28571428571429,93.57142857142857,95.0,92.5,90.47619047619048,92.68292682926828,1393.0258693695068
2025-03-30 02:30:30.176665,resnext50,377,79.28571428571428,84.28571428571429,78.33333333333333,88.75,83.92857142857143,81.03448275862068,923.7124345302582
2025-03-30 02:37:58.188918,resnet50,222,76.42857142857142,85.0,80.0,88.75,84.21052631578947,82.05128205128204,520.1173071861267
