timestamp,model,concept,seed,woe_acc,woe_binary_acc,woe_sensitivity,woe_specificity,woe_precision,woe_f1_score,woe_time_cost,feature_type,reducer,is_train_clf,ice_clf,woe_clf
2025-03-30 00:47:33.433518,resnext50,5,6,77.14285714285715,83.57142857142857,81.66666666666667,85.0,80.32786885245902,80.99173553719008,66.47744965553284,mean,NMF,False,NA,original
2025-03-30 00:54:29.171277,resnext50,10,6,75.0,82.14285714285714,78.33333333333333,85.0,79.66101694915254,78.99159663865547,97.80716896057129,mean,NMF,False,NA,original
2025-03-30 00:55:29.788149,resnext50,5,3,75.71428571428571,81.42857142857143,95.0,71.25,71.25,81.42857142857143,68.37782430648804,mean,NMF,False,NA,original
2025-03-30 00:57:10.560868,resnext50,5,4,76.42857142857142,83.57142857142857,90.0,78.75,76.05633802816901,82.44274809160305,68.852285861969,mean,NMF,False,NA,original
2025-03-30 01:00:25.991828,resnext50,5,0,75.0,85.0,73.33333333333333,93.75,89.79591836734694,80.73394495412845,67.99780464172363,mean,NMF,False,NA,original
2025-03-30 01:03:36.963404,resnext50,10,3,84.28571428571429,88.57142857142857,86.66666666666667,90.0,86.66666666666667,86.66666666666667,103.19194722175598,mean,NMF,False,NA,original
2025-03-30 01:05:13.779489,resnext50,10,4,83.57142857142857,91.42857142857143,91.66666666666666,91.25,88.70967741935483,90.1639344262295,102.23326253890991,mean,NMF,False,NA,original
2025-03-30 01:04:51.690618,resnext50,15,6,77.85714285714286,84.28571428571429,80.0,87.5,82.75862068965517,81.35593220338983,129.38161087036133,mean,NMF,False,NA,original
2025-03-30 01:08:29.408337,resnext50,10,0,87.14285714285714,94.28571428571428,91.66666666666666,96.25,94.82758620689656,93.22033898305084,101.76713585853577,mean,NMF,False,NA,original
2025-03-30 01:09:40.639021,resnext50,5,5,72.14285714285714,79.28571428571428,83.33333333333334,76.25,72.46376811594203,77.51937984496125,69.77422761917114,mean,NMF,False,NA,original
2025-03-30 01:14:16.990586,resnext50,5,1,73.57142857142858,79.28571428571428,75.0,82.5,76.27118644067797,75.63025210084035,69.28145289421082,mean,NMF,False,NA,original
2025-03-30 01:13:25.667563,resnext50,15,3,82.85714285714286,87.85714285714286,81.66666666666667,92.5,89.0909090909091,85.21739130434783,137.9783227443695,mean,NMF,False,NA,original
2025-03-30 01:14:59.247091,resnext50,15,4,84.28571428571429,91.42857142857143,90.0,92.5,90.0,90.0,140.39618921279907,mean,NMF,False,NA,original
2025-03-30 01:16:08.753346,resnext50,20,6,77.14285714285715,83.57142857142857,76.66666666666667,88.75,83.63636363636363,80.0,165.98551392555237,mean,NMF,False,NA,original
2025-03-30 01:17:30.212730,resnext50,10,5,80.0,86.42857142857143,83.33333333333334,88.75,84.7457627118644,84.03361344537815,103.47862243652344,mean,NMF,False,NA,original
2025-03-30 01:18:26.455646,resnext50,5,2,80.71428571428572,85.71428571428571,90.0,82.5,79.41176470588235,84.375,69.5709617137909,mean,NMF,False,NA,original
2025-03-30 01:18:59.859390,resnext50,15,0,86.42857142857143,92.85714285714286,91.66666666666666,93.75,91.66666666666666,91.66666666666666,139.87174201011658,mean,NMF,False,NA,original
2025-03-30 01:23:26.419987,resnext50,10,1,77.14285714285715,82.85714285714286,83.33333333333334,82.5,78.125,80.64516129032259,102.73529648780823,mean,NMF,False,NA,original
2025-03-30 01:26:22.664266,resnext50,10,2,85.0,88.57142857142857,90.0,87.5,84.375,87.0967741935484,100.68160605430603,mean,NMF,False,NA,original
2025-03-30 01:26:11.163150,resnext50,20,3,81.42857142857143,84.28571428571429,73.33333333333333,92.5,88.0,80.0,177.26411700248718,mean,NMF,False,NA,original
2025-03-30 01:26:44.880026,resnext50,20,4,84.28571428571429,92.14285714285714,91.66666666666666,92.5,90.1639344262295,90.9090909090909,174.7775011062622,mean,NMF,False,NA,original
2025-03-30 01:28:27.012038,resnext50,15,5,80.0,85.71428571428571,83.33333333333334,87.5,83.33333333333334,83.33333333333334,138.4259548187256,mean,NMF,False,NA,original
2025-03-30 01:29:57.322174,resnext50,25,6,77.14285714285715,84.28571428571429,78.33333333333333,88.75,83.92857142857143,81.03448275862068,196.8388671875,mean,NMF,False,NA,original
2025-03-30 01:30:56.058906,resnext50,20,0,82.85714285714286,92.14285714285714,90.0,93.75,91.52542372881356,90.7563025210084,176.35969710350037,mean,NMF,False,NA,original
2025-03-30 01:34:00.511737,resnext50,15,1,77.14285714285715,82.85714285714286,85.0,81.25,77.27272727272727,80.95238095238095,137.60384154319763,mean,NMF,False,NA,original
2025-03-30 01:36:06.299199,resnext50,15,2,85.71428571428571,88.57142857142857,88.33333333333333,88.75,85.48387096774194,86.88524590163934,136.93504786491394,mean,NMF,False,NA,original
2025-03-30 01:41:18.869720,resnext50,20,5,76.42857142857142,83.57142857142857,76.66666666666667,88.75,83.63636363636363,80.0,168.4690704345703,mean,NMF,False,NA,original
2025-03-30 01:40:41.727357,resnext50,25,3,82.14285714285714,85.71428571428571,76.66666666666667,92.5,88.46153846153845,82.14285714285715,206.43367266654968,mean,NMF,False,NA,original
2025-03-30 01:40:43.614679,resnext50,25,4,83.57142857142857,92.14285714285714,91.66666666666666,92.5,90.1639344262295,90.9090909090909,207.9393129348755,mean,NMF,False,NA,original
2025-03-30 01:44:34.310905,resnext50,25,0,83.57142857142857,92.14285714285714,90.0,93.75,91.52542372881356,90.7563025210084,209.95728826522827,mean,NMF,False,NA,original
