timestamp,model,lr,concept_samples,seed,no_concepts,pcbm_acc,pcbm_acc_binary,pcbm_sensitivity,pcbm_specificity,pcbm_precision,pcbm_f1_score,pcbm_time_cost,feature_type,pcbm_classifier
2025-03-30 13:45:12.947995,resnext50,0.01,50,6,12,62.142857142857146,80.0,81.66666666666667,78.75,74.24242424242425,77.77777777777779,175.9520881175995,mean,ridge
2025-03-30 13:50:16.226275,resnet50,0.01,50,6,12,55.00000000000001,72.14285714285714,95.0,55.00000000000001,61.29032258064516,74.50980392156863,157.04884815216064,mean,ridge
2025-03-30 13:54:57.689417,resnet152,0.01,50,6,12,68.57142857142857,82.85714285714286,83.33333333333334,82.5,78.125,80.64516129032259,228.1672921180725,mean,ridge
2025-03-30 14:14:10.818095,resnext50,0.01,50,0,12,61.42857142857143,75.0,45.0,97.5,93.10344827586206,60.67415730337079,192.70130920410156,mean,ridge
2025-03-30 14:18:19.085727,resnext50,0.01,50,4,12,74.28571428571429,82.85714285714286,76.66666666666667,87.5,82.14285714285714,79.31034482758619,188.74909496307373,mean,ridge
2025-03-30 14:19:35.813386,resnet50,0.01,50,0,12,72.14285714285714,82.85714285714286,80.0,85.0,80.0,80.00000000000001,167.12874746322632,mean,ridge
2025-03-30 14:21:38.913006,resnext50,0.01,50,3,12,76.42857142857142,87.14285714285714,76.66666666666667,95.0,92.0,83.63636363636363,187.6521122455597,mean,ridge
2025-03-30 14:23:53.380454,resnet50,0.01,50,4,12,68.57142857142857,85.0,91.66666666666666,80.0,77.46478873239437,83.96946564885496,174.46090483665466,mean,ridge
2025-03-30 14:24:37.597183,resnet152,0.01,50,0,12,76.42857142857142,85.0,86.66666666666667,83.75,80.0,83.2,247.98332023620605,mean,ridge
2025-03-30 14:27:10.267468,resnet50,0.01,50,3,12,63.57142857142857,79.28571428571428,88.33333333333333,72.5,70.66666666666667,78.51851851851853,166.90928602218628,mean,ridge
2025-03-30 14:29:04.710542,resnext50,0.01,50,10,12,73.57142857142858,87.85714285714286,95.0,82.5,80.28169014084507,87.02290076335878,176.4230854511261,mean,ridge
