timestamp,model,concept,seed,ice_acc,ice_binary_acc,ice_sensitivity,ice_specificity,ice_precision,ice_f1_score,ice_time_cost,feature_type,reducer,is_train_clf,ice_clf
2025-03-30 00:42:49.957336,resnext50,5,6,61.42857142857143,68.57142857142857,100.0,45.0,57.692307692307686,73.17073170731707,128.3141586780548,mean,NMF,False,NA
2025-03-30 00:45:04.717698,resnext50,5,6,72.85714285714285,85.0,96.66666666666667,76.25,75.32467532467533,84.67153284671532,68.39317488670349,mean,NMF,True,ridge
2025-03-30 00:46:19.300715,resnext50,5,6,77.14285714285715,83.57142857142857,81.66666666666667,85.0,80.32786885245902,80.99173553719008,68.00906348228455,mean,NMF,True,gnb
2025-03-30 00:48:47.275424,resnext50,10,6,74.28571428571429,82.85714285714286,73.33333333333333,90.0,84.61538461538461,78.57142857142856,184.16168212890625,mean,NMF,False,NA
2025-03-30 00:50:19.237163,resnext50,5,3,62.142857142857146,79.28571428571428,70.0,86.25,79.24528301886792,74.3362831858407,133.8096559047699,mean,NMF,False,NA
2025-03-30 00:51:57.606144,resnext50,10,6,75.71428571428571,84.28571428571429,78.33333333333333,88.75,83.92857142857143,81.03448275862068,69.82052612304688,mean,NMF,True,ridge
2025-03-30 00:52:40.071304,resnext50,5,3,71.42857142857143,77.14285714285715,91.66666666666666,66.25,67.07317073170732,77.46478873239437,73.29502558708191,mean,NMF,True,ridge
2025-03-30 00:53:13.679443,resnext50,10,6,75.0,82.14285714285714,78.33333333333333,85.0,79.66101694915254,78.99159663865547,69.22244095802307,mean,NMF,True,gnb
2025-03-30 00:52:23.490030,resnext50,5,4,62.857142857142854,79.28571428571428,85.0,75.0,71.83098591549296,77.86259541984734,128.71895360946655,mean,NMF,False,NA
2025-03-30 00:54:04.360989,resnext50,5,3,75.71428571428571,81.42857142857143,95.0,71.25,71.25,81.42857142857143,75.07319569587708,mean,NMF,True,gnb
2025-03-30 00:54:39.137734,resnext50,5,4,76.42857142857142,82.85714285714286,86.66666666666667,80.0,76.47058823529412,81.25,68.9421033859253,mean,NMF,True,ridge
2025-03-30 00:55:55.407616,resnext50,5,4,76.42857142857142,83.57142857142857,90.0,78.75,76.05633802816901,82.44274809160305,68.19774746894836,mean,NMF,True,gnb
2025-03-30 00:55:21.831855,resnext50,5,0,62.142857142857146,68.57142857142857,96.66666666666667,47.5,57.99999999999999,72.5,130.93751645088196,mean,NMF,False,NA
2025-03-30 00:57:41.649974,resnext50,5,0,66.42857142857143,78.57142857142857,91.66666666666666,68.75,68.75,78.57142857142857,71.81979846954346,mean,NMF,True,ridge
2025-03-30 00:56:49.412263,resnext50,10,3,83.57142857142857,87.85714285714286,88.33333333333333,87.5,84.12698412698413,86.17886178861788,207.0181369781494,mean,NMF,False,NA
2025-03-30 00:59:06.044194,resnext50,5,0,75.0,85.0,73.33333333333333,93.75,89.79591836734694,80.73394495412845,71.72727942466736,mean,NMF,True,gnb
2025-03-30 00:56:14.026132,resnext50,15,6,73.57142857142858,82.85714285714286,73.33333333333333,90.0,84.61538461538461,78.57142857142856,277.9020092487335,mean,NMF,False,NA
2025-03-30 01:00:27.234456,resnext50,10,3,86.42857142857143,90.71428571428571,88.33333333333333,92.5,89.83050847457628,89.07563025210085,84.43152165412903,mean,NMF,True,ridge
2025-03-30 00:58:31.461823,resnext50,10,4,83.57142857142857,89.28571428571429,88.33333333333333,90.0,86.88524590163934,87.60330578512396,209.27743101119995,mean,NMF,False,NA
2025-03-30 01:00:57.938204,resnext50,15,6,76.42857142857142,85.0,80.0,88.75,84.21052631578947,82.05128205128204,111.01489329338074,mean,NMF,True,ridge
2025-03-30 01:02:02.366056,resnext50,10,3,84.28571428571429,88.57142857142857,86.66666666666667,90.0,86.66666666666667,86.66666666666667,83.93444108963013,mean,NMF,True,gnb
2025-03-30 01:02:08.044685,resnext50,10,4,84.28571428571429,90.0,86.66666666666667,92.5,89.65517241379311,88.13559322033899,85.62578535079956,mean,NMF,True,ridge
2025-03-30 01:02:55.017948,resnext50,15,6,77.85714285714286,84.28571428571429,80.0,87.5,82.75862068965517,81.35593220338983,110.65385699272156,mean,NMF,True,gnb
2025-03-30 01:03:40.919897,resnext50,10,4,83.57142857142857,91.42857142857143,91.66666666666666,91.25,88.70967741935483,90.1639344262295,85.71893763542175,mean,NMF,True,gnb
2025-03-30 01:01:44.126965,resnext50,10,0,82.85714285714286,89.28571428571429,78.33333333333333,97.5,95.91836734693877,86.23853211009175,208.48958826065063,mean,NMF,False,NA
2025-03-30 01:05:20.903637,resnext50,10,0,83.57142857142857,88.57142857142857,80.0,95.0,92.3076923076923,85.71428571428571,85.75079679489136,mean,NMF,True,ridge
2025-03-30 01:04:42.412229,resnext50,5,5,62.142857142857146,82.14285714285714,73.33333333333333,88.75,83.01886792452831,77.87610619469027,129.31972932815552,mean,NMF,False,NA
2025-03-30 01:07:02.799597,resnext50,5,5,71.42857142857143,82.14285714285714,71.66666666666667,90.0,84.31372549019608,77.47747747747748,67.90832734107971,mean,NMF,True,ridge
2025-03-30 01:06:54.757849,resnext50,10,0,87.14285714285714,94.28571428571428,91.66666666666666,96.25,94.82758620689656,93.22033898305084,86.04855132102966,mean,NMF,True,gnb
2025-03-30 01:08:21.627136,resnext50,5,5,72.14285714285714,79.28571428571428,83.33333333333334,76.25,72.46376811594203,77.51937984496125,68.0125880241394,mean,NMF,True,gnb
2025-03-30 01:05:28.962221,resnext50,15,3,85.0,89.28571428571429,88.33333333333333,90.0,86.88524590163934,87.60330578512396,272.69407868385315,mean,NMF,False,NA
